ID,Area,User Story,Expected Behavior,Code Evidence,Test Command,Initial Status,Initial Error,Fix,Retest Status,Retest Evidence
US-026,Mods,"As an author, I can import and export mod packages","JSON/ZIP mods validate register list export and provide their worlds/assets/prefabs/kits","src/editor/ModPanel.js; src/mods",npm run test:asset-pipeline,PENDING,,,PENDING,
US-027,Procedural generation,"As an author, I can generate a city","Parameters and seed produce deterministic normal world objects grouped by generator instance","src/editor/ProceduralPanel.js; src/generators",npm run test:procedural,PENDING,,,PENDING,
US-028,Procedural generation,"As an author, I can generate camps ruins and forests","Each generator emits bounded deterministic layouts from selected prefab sources","src/generators/GeneratorRegistry.js; src/generators",npm run test:genlib,PENDING,,,PENDING,
US-029,Connectors,"As an author, I can generate roads plazas and connectors","Connective generators join authored origins and emit readable anchors/layout data","src/generators; src/editor/ProceduralPanel.js",npm run test:connectors,PENDING,,,PENDING,
US-030,Settlement,"As a player, I can traverse a generated settlement","Connected procedural content loads visibly and forms a readable traversable runtime layout","src/generators; src/world",npm run test:settlement-layout,PENDING,,,PENDING,
US-031,Procedural authoring,"As an author, I can create splines masks and modifiers","Editable authoring primitives serialize; derived beacon trail updates; undo/redo restores changes","src/editor/AuthoringPanel.js; src/world/authoring",npm run test:authoring-procedural-proof,PENDING,,,PENDING,
US-032,Animation,"As an author/player, imported animations preview and play","Rigged asset clips preview in editor and independent instances animate correctly at runtime","src/animation; src/editor/AnimationPanel.js",npm run test:anim,PENDING,,,PENDING,
US-033,Interactions,"As an author, I can configure triggers doors pickups signs and spawns","Role-specific fields serialize and runtime enter/exit/open/close/collect/teleport behaviors fire through channels","src/editor/InteractionPanel.js; src/interaction",npm run test:interaction,PENDING,,,PENDING,
US-034,Particles,"As an author, I can configure particle emitters","Emitters preview while editor is open and run with validated settings in play mode","src/editor/ParticlePanel.js; src/particles",npm run test:particles,PENDING,,,PENDING,
US-035,Lighting,"As an author, I can edit lighting and fog","Panel changes apply live and round-trip to runtime with sanitized colors/intensities/distances","src/editor/LightingPanel.js; src/lighting",npm run test:lighting,PENDING,,,PENDING,
US-036,Voxel lab,"As an author, I can voxelize a selected object for debugging","Voxel occupancy is deterministic bounded and rendered as one instanced mesh; clear removes preview","src/voxels; src/editor/WorldEditor.js",npm run test:voxel,PENDING,,,PENDING,
US-037,Terrain,"As a player, terrain rendering and collision agree","Mesh sampling placement and player grounding share one profile-backed height source","src/terrain",npm run test:terrain-source,PENDING,,,PENDING,
US-038,Terrain profiles,"As an author, I can use rolling or alpine terrain","Profiles are deterministic finite and visually/geometrically distinct with valid spawn/placement fields","src/terrain/profiles",npm run test:terrain-profile,PENDING,,,PENDING,
US-039,Terrain material,"As a player, terrain material renders correctly","Macro detail slope rock height tint and detail settings compile and render without GPU errors","src/terrain/visual; src/terrain/Terrain.js",npm run test:terrain,PENDING,,,PENDING,
US-040,Grass,"As a player, grass streams with authored appearance","Grass placement is grounded; clumping/tint/Fresnel compile; visible patches and draw calls stay bounded","src/grass",npm run test:vegetation,PENDING,,,PENDING,
US-041,Trees,"As a player, trees stream around the camera","Instanced tree patches honor terrain/exclusions/LOD and rebuild after editor changes","src/trees",npm run test:browser,PENDING,,,PENDING,
US-042,Bushes,"As a player, bushes stream with authored settings","Bushes honor enabled/density/seed/clumping and remain within bounded patch draw calls","src/bushes",npm run test:bush,PENDING,,,PENDING,
US-043,Water,"As a player, glacial water follows terrain masks","Alpine water is deterministic and above masked ground; rolling profile has no unintended water","src/world/water",npm run test:water,PENDING,,,PENDING,
US-044,Atmosphere,"As a player, valley atmosphere is coherent","Fog/sky/lighting configuration validates and produces finite profile-appropriate values","src/world/atmosphere; src/lighting",npm run test:atmosphere,PENDING,,,PENDING,
US-045,Visual environment,"As a player, the alpine valley renders as intended","Terrain water atmosphere grass lighting and grounded player render together without console errors","src/world/samples; src/terrain",npm run test:visual1,PENDING,,,PENDING,
US-046,Wildlife,"As a player, grounded wildlife inhabits legal terrain","Deterministic animals stay habitat-clamped grounded dry bounded and instanced","src/world/wildlife",npm run test:wildlife0,PENDING,,,PENDING,
US-047,Flocks,"As a player, bird flocks inhabit the sky","Deterministic snow finches remain above terrain/water in bounded instanced flocks","src/world/wildlife/FlockRuntime.js; src/world/wildlife/FlockPlacement.js",npm run test:wildlife1,PENDING,,,PENDING,
US-048,Ambient life,"As a player, ambient motes appear in legal habitat","Fireflies stream as instanced motes above terrain/water and within configured altitude bounds","src/world/ambient",npm run test:ambient0,PENDING,,,PENDING,
US-049,Streaming,"As a player, world regions stream predictably","Region activation retention and disposal are deterministic and bounded around the camera","src/world/streaming/RegionStreamer.js",npm run test:streamer,PENDING,,,PENDING,
US-050,Visibility,"As a player, distant work sleeps without visual popping","Visibility kernel assigns tiers with guard bands and preserves visible/shadow meshes during fast turns","src/visibility",npm run test:visibility,PENDING,,,PENDING,
US-051,Instancing,"As a player, repeated static content batches efficiently","Runtime batches compatible primitives while editor identity selection and collision remain intact","src/generators/InstancedWorldObjectRenderer.js",npm run test:instancing,PENDING,,,PENDING,
US-052,Geometry streaming,"As a player, large procedural geometry pages safely","Paged producer builds/evicts deterministic chunks under budgets and rejects stale async results","src/world/geometry",npm run test:geometry-stream-proof,PENDING,,,PENDING,
US-053,Depth precision,"As a player, distant/near geometry has stable depth","Reverse-Z capability is reported honestly and the precision proof renders correct occlusion","src/core/renderer.js",npm run test:reversez,PENDING,,,PENDING,
US-054,Arsenal Lab,"As an author, I can generate procedural weapons","Lab renders a weapon; seed/type/sliders/presets reroll valid non-empty recipes; orbit and zoom work","src/arsenal; arsenal.html",npm run test:arsenal-proof,PENDING,,,PENDING,
US-055,Weapon identity,"As an author, generated weapons retain identity","Recipe/descriptor identity is deterministic and survives placement serialization/reload","src/arsenal/WeaponIdentity.js; src/world/placement",npm run test:arsenal-identity,PENDING,,,PENDING,
US-056,Weapon placement,"As an author, I can place generated weapons in a world","Armed weapon click creates a grounded runtime weapon with finite markers and persisted descriptor","src/world/placement/WeaponPlacementTool.js; src/editor/WorldEditor.js",npm run test:arsenal-v3,PENDING,,,PENDING,
US-057,Weapon equip,"As a player, I can equip drop and store a weapon","Nearby weapon equips to the player at a finite hand marker; drop restores world placement; store hides safely","src/world/placement/WeaponEquipRuntime.js",npm run test:arsenal-v3,PENDING,,,PENDING,
US-058,Weapon slots,"As a player, I can select hand back and hip slots","Keys 1/2/3 and cycling attach with correct finite orientation and enforce one occupant per slot","src/world/placement/WeaponEquipSlots.js; src/main.js",npm run test:arsenal-v4,PENDING,,,PENDING,
US-059,Weapon carry,"As a player, I can carry and manage multiple weapons","F picks up/draws; R cycles; H holsters/draws; G drops active; carried weapons persist according to policy","src/world/placement/WeaponCarryRuntime.js; src/main.js",npm run test:arsenal-v6,PENDING,,,PENDING,
US-060,Combat,"As a player, I can attack with an active weapon","Left click follows the combat path; valid target takes bounded damage with hit feedback; invalid/occluded targets do not","src/world/combat",npm run test:combat-proof,PENDING,,,PENDING,
US-061,Enemies,"As a player, I can fight a glacial sentinel","Enemy validates loads reacts to hits transitions states and persists defeat without non-finite state","src/world/enemies",npm run test:enemy-proof,PENDING,,,PENDING,
US-062,Enemy patrol,"As a player, living enemies patrol authored bounds","Patrol follows authored points terrain-safely within encounter radius and stops after defeat","src/world/enemies/PatrolMotion.js",npm run test:enemy-patrol-proof,PENDING,,,PENDING,
US-063,Enemy archetypes,"As a player, I encounter distinct sentinel and frost-wisp archetypes","Both share valid combat/FSM behavior while data drives distinct health silhouette feedback and patrol traits","src/world/enemies/EnemyTypes.js; src/world/samples/enemyArchetypeLab.js",npm run test:enemy-archetypes-proof,PENDING,,,PENDING,
US-064,Encounter authoring,"As an author, I can place and remove combat encounters","Editor writes validated descriptors and preview rings without spawning editor enemies","src/editor/EncounterPanel.js; src/world/encounters",npm run test:encounter-editor-proof,PENDING,,,PENDING,
US-065,Encounters,"As a player, authored encounters project and complete","Entering/playing a beat creates one enemy; defeat completes/persists per replay policy and presentation updates","src/world/encounters/EncounterRuntime.js",npm run test:encounter-editor-proof,PENDING,,,PENDING,
US-066,Encounter presentation,"As a player, combat beats are readable","Idle-to-alert telegraph zone/gate cues banner and clear feedback track encounter state without mutating it","src/world/encounters/EncounterPresentation.js",npm run test:encounter-polish-proof,PENDING,,,PENDING,
US-067,Objective,"As a player, I can complete the relic weapon objective","Relic/cache spawn safely; prompt/equip/carry/open sequence advances; completion persists and can restart","src/world/objectives; src/world/slice/FrozenCacheSlice.js",npm run test:first-objective-proof,PENDING,,,PENDING,
US-068,First playable,"As a new player, I can complete the integrated loop","Living world loads; guidance teaches movement; weapon objective and encounter can be completed end to end","src/world/slice; src/world/samples/verticalSliceV1.js",npm run test:first-playable-proof,PENDING,,,PENDING,
US-069,UX guidance,"As a new player, I receive timely prompts without editor leakage","Play mode shows compact arrival/objective/interaction/completion guidance; movement dismisses teaching; L toggles trace","src/world/feedback; src/world/slice; index.html",npm run test:slice0a,PENDING,,,PENDING,
US-070,Robustness,"As a player, hostile saved/input data cannot break the session","Spawn resolves dry/grounded; non-finite markers/dt are rejected; reload remains deterministic","src/world/slice; src/world/placement; src/player",npm run test:first-playable-hidden-proof,PENDING,,,PENDING,
US-071,Frozen cache,"As a player, I can play and replay the frozen-cache slice","Beats/prompts/landmarks/completion card advance in order; keep exploring and play again behave distinctly","src/world/slice/FrozenCacheSlice.js",npm run test:frozen-cache-proof,PENDING,,,PENDING,
US-072,Content beats,"As a player, I can complete repeated combat beats","Benchmark stages multiple authored encounters with independent completion and stable reload behavior","src/world/samples/visualBenchmarkV1.js",npm run test:content-combat-beats-proof,PENDING,,,PENDING,
US-073,Content expansion,"As an exploring player, I can discover optional content","Off-route shrine provides discovery/pickup/reward feedback while the main slice remains completable","src/world/samples/visualBenchmarkV1.js; src/world/feedback",npm run test:content-slice-expansion-proof,PENDING,,,PENDING,
US-074,Audio accessibility,"As a player, key milestones have audio and visual cues","Shared audio emits differentiated one-shot cues and accessible toast equivalents without duplicate wind engines","src/world/audio; src/world/feedback",npm run test:audio-feedback-proof,PENDING,,,PENDING,
US-075,Visual benchmark,"As a player, the benchmark corridor is intentional and playable","Relic overlook crossing encounters cache and optional content load visibly measurably and reload-safely","src/world/samples/visualBenchmarkV1.js",npm run test:visual-benchmark-proof,PENDING,,,PENDING,
US-076,Performance,"As a user, representative scenes stay within structural budgets","Performance contract classifies canonical scenes and live counts/draw calls remain within declared budgets","src/perf",npm run test:performance-contract-proof,PENDING,,,PENDING,
US-077,Performance HUD,"As an author, I can see budget health","Budget HUD displays current metrics and classification in editor/runtime without changing gameplay","src/debug/BudgetHUD.js; src/perf",npm run test:budget,PENDING,,,PENDING,
US-078,WebGPU Lab,"As a developer, I can inspect WebGPU feasibility honestly","Isolated lab reports supported/unsupported/error capability without pretending the production renderer migrated","src/feasibility/webgpu; webgpu-lab.html",npm run test:webgpu-feasibility-proof,PENDING,,,PENDING,
US-079,Quality gates,"As a maintainer, I can build all app entry points","Vite production build emits editor Arsenal Lab and WebGPU Lab without unresolved imports","vite.config.js; index.html; arsenal.html; webgpu-lab.html",npm run build,PENDING,,,PENDING,
US-080,Quality gates,"As a maintainer, I can run repository skill/layout/smoke gates","Three.js adoption layout production build and browser smoke gates complete without errors","qa; scripts/layout-gates.mjs; scripts/browser-smoke.mjs",npm run qa,PENDING,,,PENDING,
